status,loan_amnt,term,annual_inc,dti,payment_inc_ratio,revol_bal,revol_util,home_ownership,grade,outcome,emp_length,emp_len_,borrower_score
Charged Off,2500,f,12000,16.30,7.77800,4853,42.20,OWN,6.60,default,0,f,0.40
Charged Off,1000,f,18408,6.00,2.24902,2510,83.70,RENT,4.60,default,0,f,0.35
Charged Off,1700,f,37800,27.00,1.68889,16333,91.20,MORTGAGE,6.80,default,0,f,0.25
Charged Off,8575,f,32000,22.54,11.55790,20142,89.90,MORTGAGE,3.80,default,0,f,0.55
Charged Off,14125,f,45696,21.93,12.39500,15831,91.50,MORTGAGE,5.80,default,0,f,0.30
Charged Off,8500,f,27050,10.25,13.24970,5956,62.70,RENT,5.00,default,0,f,0.45
Charged Off,5000,f,84855,14.14,2.19989,7295,20.50,RENT,6.60,default,0,f,0.45
Charged Off,4000,f,25000,12.62,6.68160,5550,91.00,OWN,4.80,default,0,f,0.55
Charged Off,1400,f,30108,20.29,1.77202,3344,33.40,MORTGAGE,7.00,default,0,f,0.50
Charged Off,5325,f,22000,12.55,9.70582,8766,88.50,RENT,5.80,default,0,f,0.50
Charged Off,8000,f,60000,19.90,5.15600,0,0.00,RENT,5.20,default,0,f,0.45
Charged Off,23000,t,45600,18.68,16.00550,0,0.00,RENT,2.80,default,0,f,0.65
Charged Off,3200,f,48000,27.15,2.50325,27919,74.80,MORTGAGE,6.80,default,0,f,0.30
Charged Off,7000,f,22776,12.22,11.88510,2623,65.60,RENT,5.20,default,0,f,0.45
Charged Off,2000,f,30972,15.61,2.73576,2925,88.60,RENT,3.20,default,2,t,0.35
Charged Off,8000,f,60780,14.27,5.14492,14759,20.50,RENT,5.40,default,0,f,0.55
Charged Off,10000,f,50000,14.40,8.05080,11442,67.70,MORTGAGE,6.00,default,0,f,0.45
Charged Off,3000,f,39192,22.23,3.08145,24123,56.50,MORTGAGE,6.00,default,0,f,0.50
Charged Off,35000,f,162000,19.81,9.40541,86994,53.90,RENT,4.00,default,0,f,0.55
Charged Off,16000,f,72000,11.08,8.91083,9620,35.10,OWN,5.80,default,0,f,0.55
Charged Off,5000,f,40000,19.08,4.69380,6566,51.70,RENT,6.80,default,0,f,0.50
Charged Off,2700,f,40800,22.24,2.62676,2302,72.70,RENT,5.60,default,0,f,0.55
Charged Off,5000,f,37516,17.85,5.15396,12553,79.40,RENT,5.20,default,0,f,0.50
Charged Off,2000,f,24000,18.80,3.35450,12080,82.70,RENT,6.00,default,0,f,0.25
Charged Off,6000,f,21640,25.23,10.21610,5266,23.60,RENT,6.40,default,0,f,0.60
Charged Off,3825,f,14400,12.25,11.40750,4996,83.30,RENT,3.60,default,0,f,0.30
Charged Off,7000,f,22800,22.05,11.46210,7061,35.10,OWN,6.60,default,0,f,0.55
Charged Off,5000,f,38000,28.77,5.08832,0,8.80,RENT,5.20,default,0,f,0.45
Charged Off,3000,f,36000,12.70,3.44967,507,63.40,RENT,4.60,default,4,t,0.30
Charged Off,15000,f,42655,5.94,14.15580,7475,71.20,MORTGAGE,6.00,default,0,f,0.50
Charged Off,4000,f,42000,12.49,3.50914,7232,27.60,MORTGAGE,6.40,default,0,f,0.65
Charged Off,12000,f,60000,11.12,8.52940,8326,77.90,RENT,3.40,default,0,f,0.50
Charged Off,5800,f,26988,20.81,7.91863,10784,36.20,RENT,6.40,default,0,f,0.45
Charged Off,6100,f,23748,23.95,10.57550,0,56.18,MORTGAGE,4.40,default,0,f,0.35
Charged Off,13200,f,49800,23.23,11.22820,16809,89.40,MORTGAGE,3.20,default,0,f,0.40
Charged Off,4200,f,28080,12.61,5.78419,7328,62.10,RENT,5.20,default,0,f,0.40
Charged Off,12000,f,41830,19.56,10.70990,4399,21.80,RENT,6.60,default,0,f,0.70
Charged Off,4000,f,17640,13.95,9.60612,4237,88.30,OWN,3.20,default,0,f,0.35
Charged Off,5000,f,27000,20.22,7.23867,1002,27.80,OWN,5.40,default,0,f,0.45
Charged Off,1550,f,12732,8.86,5.08388,1902,48.80,RENT,4.80,default,0,f,0.40
Charged Off,8000,f,36000,4.90,8.18767,6084,35.40,MORTGAGE,6.40,default,0,f,0.55
Charged Off,7600,f,48000,21.20,6.70725,11524,82.30,MORTGAGE,3.20,default,0,f,0.55
Charged Off,13275,f,38040,11.64,14.57220,385,12.80,RENT,4.80,default,0,f,0.45
Charged Off,5000,f,15000,12.00,12.51680,4174,23.90,RENT,6.80,default,0,f,0.70
Charged Off,2000,f,25000,19.92,3.09360,10655,28.70,RENT,5.20,default,0,f,0.60
Charged Off,6000,f,38400,10.63,5.86719,698,53.70,RENT,6.80,default,0,f,0.20
